price,address,property_type,bedrooms,bathrooms,size_square_meters,latitude,longitude,borough,Price_per_square_meter
1250000.0,"Windermere Avenue, Finchley, N3",Semi-Detached,4.0,2.0,166.0,51.595203,-0.1913607,Barnet,7530.120481927711
1250000.0,"Gillingham Road, London, NW2",House,4.0,3.0,149.0,51.5607987,-0.2099925,Barnet,8389.261744966443
1250000.0,"Bedford Road, East Finchley N2",Semi-Detached,4.0,1.0,150.0,51.5921924,-0.1655179,Barnet,8333.333333333334
1225000.0,"Marriott Road, Barnet",Semi-Detached,5.0,1.0,183.0,51.6551526,-0.2098181,Barnet,6693.989071038252
1200000.0,"Sellers Hall Close, Finchley, N3",Semi-Detached,5.0,2.0,161.0,51.6056985,-0.1931477,Barnet,7453.416149068323
1200000.0,"Beaufort Park, London, NW9",Flat,3.0,2.0,128.0,51.5957001,-0.2396334545860261,Barnet,9375.0
1179000.0,"Principal Place, London EC2A 2FD, EC2A",Apartment,1.0,1.0,48.0,51.52198,-0.079624220383766,Barnet,24562.5
1150000.0,"Ridge Hill, London, NW11 8PS",Semi-Detached,5.0,3.0,177.0,51.5708229,-0.2085236,Barnet,6497.175141242938
1150000.0,"Bedford Road, East Finchley, London",End of Terrace,4.0,1.0,143.0,51.5921924,-0.1655179,Barnet,8041.958041958042
1150000.0,"Oxford Gardens, London,  N20, N20",Flat,6.0,4.0,149.0,51.5168561,-0.2198509,Barnet,7718.120805369127
1150000.0,"Ridge Hill, Golders Green, NW11",Semi-Detached,5.0,3.0,176.0,51.5708229,-0.2085236,Barnet,6534.090909090909
1149500.0,"ST JOHNS ROAD, LONDON, NW11",Semi-Detached,4.0,5.0,166.0,51.4846864,0.1704631,Barnet,6924.698795180723
1140000.0,"Athenaeum Road, Whetstone, N20",Semi-Detached,5.0,2.0,189.0,51.6323711,-0.1711467,Barnet,6031.746031746032
1100000.0,"Elliot Road, Hendon, London NW4",Detached,4.0,1.0,154.0,51.5788435,-0.2293366,Barnet,7142.857142857143
1100000.0,"Essex Park, Finchley, London, N3",House,5.0,2.0,143.0,51.6098614,-0.1874367,Barnet,7692.307692307692
1100000.0,"Flower Lane, London, NW7",Apartment,3.0,3.0,106.0,51.6122244,-0.2444834,Barnet,10377.358490566035
1100000.0,"Royal Drive, Friern Barnet, London, N11",Flat,3.0,2.0,159.0,51.6143719,-0.1489303,Barnet,6918.238993710692
1100000.0,"Ravensdale Avenue, North Finchley N12",Semi-Detached,4.0,3.0,149.0,51.6183003,-0.1739312,Barnet,7382.550335570469
1100000.0,"Hamilton Road, Golders Green, London, NW11",Terraced,5.0,2.0,169.0,51.5735284,-0.2111682,Barnet,6508.87573964497
1100000.0,"Elliot Road, Hendon, London NW4",Detached,4.0,1.0,154.0,51.5788435,-0.2293366,Barnet,7142.857142857143
1100000.0,"Longfield Avenue, London, Greater London, NW7 2EH",Semi-Detached,5.0,3.0,196.0,51.5145027,-0.3086191,Barnet,5612.244897959184
685000.0,"Church Hill Road, East Barnet, Barnet, EN4",Semi-Detached,4.0,2.0,127.0,51.6368673,-0.1576613,Barnet,5393.700787401574
1100000.0,"Holmfield Avenue, London",Semi-Detached,4.0,1.0,56.0,51.585075,-0.213724,Barnet,19642.85714285714
1100000.0,"Longfield Avenue, London",Semi-Detached,5.0,3.0,173.0,51.5145027,-0.3086191,Barnet,6358.381502890174
1100000.0,"Elsinore Gardens, Cricklewood, London, NW2",House,3.0,2.0,164.0,51.5629298,-0.2097261,Barnet,6707.317073170731
1100000.0,"Robin Close, Mill Hill, London, NW7",Detached,5.0,3.0,216.0,51.6262518,-0.2525935,Barnet,5092.592592592592
1100000.0,"Baronsmere Road, East Finchley",Terraced,4.0,2.0,158.0,51.5879324,-0.1640592,Barnet,6962.025316455696
1100000.0,"Baronsmere Road, East Finchley N2",Terraced,4.0,2.0,165.0,51.5879324,-0.1640592,Barnet,6666.666666666667
1100000.0,"Hodford Road, Golders Hill, NW11",Flat,2.0,2.0,105.0,51.5691747,-0.1989129,Barnet,10476.190476190475
1100000.0,"Inglis Way,London,NW7 1FJ",End of Terrace,4.0,3.0,226.0,51.6112881,-0.2077086,Barnet,4867.256637168141
1075000.0,"Lincoln Road, East Finchley N2",Terraced,3.0,2.0,145.0,51.5903339,-0.1636781,Barnet,7413.793103448276
1050000.0,"HIGHFIELD AVENUE, LONDON, NW11",Semi-Detached,5.0,3.0,157.0,51.5780077,-0.2081797,Barnet,6687.898089171975
1050000.0,"Havanna Drive, London ",Apartment,3.0,2.0,114.0,51.58534,-0.2078499,Barnet,9210.526315789471
1000000.0,"Cheyne Walk, London",Detached,4.0,3.0,170.0,51.6455272,-0.0954516081880379,Barnet,5882.35294117647
1000000.0,"Annabel Court, NW11",Flat,2.0,2.0,96.0,51.56607925,-0.1963941247685174,Barnet,10416.666666666666
1000000.0,"Marsh Lane, Mill Hill, London, NW7",Semi-Detached,3.0,2.0,123.0,51.6250595,-0.244697,Barnet,8130.081300813008
1000000.0,"Cheyne Walk, NW4",House,4.0,3.0,170.0,51.579251,-0.2210995,Barnet,5882.35294117647
1000000.0,"North Crescent, Finchley, N3",Detached,4.0,1.0,122.0,51.5953406,-0.1993242,Barnet,8196.72131147541
1000000.0,"Torrington Park, North Finchley N12",Semi-Detached,4.0,2.0,150.0,51.6171436,-0.1680128,Barnet,6666.666666666667
1000000.0,"Edgware, Middlesex, HA8",Detached,5.0,4.0,157.0,51.5960416,-0.2413129,Barnet,6369.426751592357
995000.0,"North End Road, Golders Green, NW11",Terraced,5.0,2.0,137.0,51.5723003,-0.194027,Barnet,7262.773722627737
995000.0,"Old Rectory Gardens, Edgware, HA8",Semi-Detached,5.0,3.0,139.0,51.6141693,-0.2771752,Barnet,7158.273381294964
975000.0,"Hadley Road, Barnet",Semi-Detached,5.0,3.0,195.0,51.6553309,-0.1831725,Barnet,5000.0
950000.0,"Parkhurst Road, London N11",End of Terrace,4.0,2.0,140.0,51.5567092,-0.1209575,Barnet,6785.714285714285
950000.0,"Edgwarebury Gardens, Edgware",Semi-Detached,6.0,7.0,234.0,51.6159792,-0.2777834,Barnet,4059.82905982906
950000.0,"Baxendale, London",Terraced,3.0,2.0,145.0,51.6285426,-0.1760378,Barnet,6551.724137931034
400000.0,"Station Road, Hendon, NW4",Flat,2.0,1.0,53.0,51.58588,-0.2310636,Barnet,7547.169811320755
940000.0,"Asmuns Place, Hampstead Garden Suburb, NW11",House,3.0,1.0,98.0,51.5834209,-0.198116,Barnet,9591.836734693878
935000.0,"LEESIDE CRESCENT, London, NW11",Terraced,3.0,1.0,108.0,51.5805799,-0.2028444,Barnet,8657.407407407407
925000.0,"Engel Park, London, NW7",Detached,5.0,3.0,183.0,51.612409,-0.2177806,Barnet,5054.644808743169
500000.0,"Mill Hill, London, NW7",Flat,2.0,1.0,67.0,51.6154423,-0.2330675,Barnet,7462.686567164179
900000.0,"Hendon,  London, NW4",Link Detached House,4.0,1.0,166.0,51.5897175,-0.2216026,Barnet,5421.686746987952
900000.0,"Vines Avenue, Finchley,  N3",Semi-Detached,4.0,1.0,128.0,51.6022765,-0.1847624,Barnet,7031.25
900000.0,"Tudor Road, New Barnet",Semi-Detached,4.0,2.0,128.0,51.6557641,-0.1831883,Barnet,7031.25
